Year,Program,Category,Expense,Revenue
2012,Toronto Public Library,Service And Rent,22119600,
2012,Toronto Public Library,Sundry and Other Revenues,,2019300
2012,Toronto Public Library,Transfers from Capital Fund,,511800
2012,Toronto Public Library,User Fees & Donations,,4940500
2013,Toronto Public Library,Salaries And Benefits,136554454,
2013,Toronto Public Library,Materials & Supplies,19904100,
2013,Toronto Public Library,Equipment,524300,
2013,Toronto Public Library,Service And Rent,22365000,
2013,Toronto Public Library,Contributions to Capital,1888000,
2013,Toronto Public Library,Contribution To Reserves/Reserve Funds,790500,
2013,Toronto Public Library,Other Expenditures,4000,
2013,Toronto Public Library,Provincial Subsidies,,5685700
2013,Toronto Public Library,Federal Subsidies,,20000
2013,Toronto Public Library,User Fees & Donations,,4914500
2013,Toronto Public Library,Transfers from Capital Fund,,389000
2013,Toronto Public Library,Contribution From Reserves/Reserve Funds,,3236454
2013,Toronto Public Library,Sundry and Other Revenues,,2425100
2014,Toronto Public Library,Contributions to Capital,1848000,
2014,Toronto Public Library,Contribution To Reserves/Reserve Funds,790521,
2014,Toronto Public Library,Equipment,523316,
2014,Toronto Public Library,Materials & Supplies,20459676,
2014,Toronto Public Library,Other Expenditures,4030,
2014,Toronto Public Library,Salaries And Benefits,137797840,
2014,Toronto Public Library,Service And Rent,22796752,
2014,Toronto Public Library,Contribution From Reserves/Reserve Funds,,2825000
2014,Toronto Public Library,Federal Subsidies,,20000
2014,Toronto Public Library,Provincial Subsidies,,5685704
2014,Toronto Public Library,Sundry and Other Revenues,,2503377
2014,Toronto Public Library,Transfers from Capital Fund,,339971
2014,Toronto Public Library,User Fees & Donations,,5208648
2013,Toronto Region Conservation Authority,Salaries And Benefits,30235400,
2013,Toronto Region Conservation Authority,Materials & Supplies,4421700,
2013,Toronto Region Conservation Authority,Equipment,820600,
2013,Toronto Region Conservation Authority,Service And Rent,8512900,
2013,Toronto Region Conservation Authority,Other Expenditures,-5634600,
2013,Toronto Region Conservation Authority,Provincial Subsidies,,1961000
2013,Toronto Region Conservation Authority,User Fees & Donations,,23899000
2013,Toronto Region Conservation Authority,Contribution From Reserves/Reserve Funds,,4377000
2013,Toronto Region Conservation Authority,Sundry and Other Revenues,,4829450
2010,Toronto Transit Commission - Conventional,Contribution From Reserves/Reserve Funds,,
2010,Toronto Transit Commission - Conventional,Contribution From Reserves/Reserve Funds,,
2010,Toronto Transit Commission - Conventional,Contributions to Capital,,
2010,Toronto Transit Commission - Conventional,Contribution To Reserves/Reserve Funds,,
2010,Toronto Transit Commission - Conventional,Equipment,24200000,
2010,Toronto Transit Commission - Conventional,Federal Subsidies,,
2010,Toronto Transit Commission - Conventional,Inter-Divisional Charges,3141400,
2010,Toronto Transit Commission - Conventional,Inter-Divisional Recoveries,,
2010,Toronto Transit Commission - Conventional,Materials & Supplies,254218600,
2010,Toronto Transit Commission - Conventional,Other Expenditures,33686600,
2010,Toronto Transit Commission - Conventional,Other Subsidies,,
2010,Toronto Transit Commission - Conventional,Provincial Subsidies,,
2010,Toronto Transit Commission - Conventional,Salaries And Benefits,1010820700,
2010,Toronto Transit Commission - Conventional,Service And Rent,45400000,
2010,Toronto Transit Commission - Conventional,Sundry and Other Revenues,,
2010,Toronto Transit Commission - Conventional,Transfers from Capital Fund,,
2010,Toronto Transit Commission - Conventional,User Fees & Donations,,941662800
2011,Toronto Transit Commission - Conventional,Contribution From Reserves/Reserve Funds,,
2011,Toronto Transit Commission - Conventional,Contribution From Reserves/Reserve Funds,,
2011,Toronto Transit Commission - Conventional,Contributions to Capital,,
2011,Toronto Transit Commission - Conventional,Contribution To Reserves/Reserve Funds,,
2011,Toronto Transit Commission - Conventional,Equipment,26400000,
2011,Toronto Transit Commission - Conventional,Federal Subsidies,,547500
2011,Toronto Transit Commission - Conventional,Inter-Divisional Charges,3302300,
2011,Toronto Transit Commission - Conventional,Inter-Divisional Recoveries,,
2011,Toronto Transit Commission - Conventional,Materials & Supplies,266621300,
2011,Toronto Transit Commission - Conventional,Other Expenditures,36843500,
2011,Toronto Transit Commission - Conventional,Other Subsidies,,
2011,Toronto Transit Commission - Conventional,Provincial Subsidies,,
2011,Toronto Transit Commission - Conventional,Salaries And Benefits,1055172500,
2011,Toronto Transit Commission - Conventional,Service And Rent,48100000,
2011,Toronto Transit Commission - Conventional,Sundry and Other Revenues,,
2011,Toronto Transit Commission - Conventional,Transfers from Capital Fund,,
2011,Toronto Transit Commission - Conventional,User Fees & Donations,,1006781400
2012,Toronto Transit Commission - Conventional,Contribution From Reserves/Reserve Funds,,
2012,Toronto Transit Commission - Conventional,Contribution From Reserves/Reserve Funds,,
2012,Toronto Transit Commission - Conventional,Contributions to Capital,,
2012,Toronto Transit Commission - Conventional,Contribution To Reserves/Reserve Funds,,
2012,Toronto Transit Commission - Conventional,Equipment,27137100,
2012,Toronto Transit Commission - Conventional,Federal Subsidies,,
2012,Toronto Transit Commission - Conventional,Inter-Divisional Charges,3479000,
2012,Toronto Transit Commission - Conventional,Inter-Divisional Recoveries,,
2012,Toronto Transit Commission - Conventional,Materials & Supplies,280860700,
2012,Toronto Transit Commission - Conventional,Other Expenditures,36142600,
2012,Toronto Transit Commission - Conventional,Other Subsidies,,
2012,Toronto Transit Commission - Conventional,Provincial Subsidies,,
2012,Toronto Transit Commission - Conventional,Salaries And Benefits,1042671900,
2012,Toronto Transit Commission - Conventional,Service And Rent,51656200,
2012,Toronto Transit Commission - Conventional,Sundry and Other Revenues,,
2012,Toronto Transit Commission - Conventional,Transfers from Capital Fund,,
2012,Toronto Transit Commission - Conventional,User Fees & Donations,,1067846500
2014,Toronto Transit Commission - Conventional,Equipment,31906700.41,
2014,Toronto Transit Commission - Conventional,Inter-Divisional Charges,3566800.01,
2014,Toronto Transit Commission - Conventional,Materials & Supplies,311374799.4,
2014,Toronto Transit Commission - Conventional,Other Expenditures,34194300,
2014,Toronto Transit Commission - Conventional,Salaries And Benefits,1156115100,
2014,Toronto Transit Commission - Conventional,Service And Rent,69401399.78,
2014,Toronto Transit Commission - Conventional,User Fees & Donations,,1166478100
2010,Toronto Transit Commission - Wheel Trans,Contribution From Reserves/Reserve Funds,,
2010,Toronto Transit Commission - Wheel Trans,Contribution From Reserves/Reserve Funds,,
2010,Toronto Transit Commission - Wheel Trans,Contributions to Capital,,
2010,Toronto Transit Commission - Wheel Trans,Contribution To Reserves/Reserve Funds,,
2010,Toronto Transit Commission - Wheel Trans,Equipment,,
2010,Toronto Transit Commission - Wheel Trans,Federal Subsidies,,
2010,Toronto Transit Commission - Wheel Trans,Inter-Divisional Charges,,
2010,Toronto Transit Commission - Wheel Trans,Inter-Divisional Recoveries,,
2010,Toronto Transit Commission - Wheel Trans,Materials & Supplies,12772400,
2010,Toronto Transit Commission - Wheel Trans,Other Expenditures,391500,
2010,Toronto Transit Commission - Wheel Trans,Other Subsidies,,
2010,Toronto Transit Commission - Wheel Trans,Provincial Subsidies,,
2010,Toronto Transit Commission - Wheel Trans,Salaries And Benefits,47243500,
2010,Toronto Transit Commission - Wheel Trans,Service And Rent,27025800,
2010,Toronto Transit Commission - Wheel Trans,Sundry and Other Revenues,,
2010,Toronto Transit Commission - Wheel Trans,Transfers from Capital Fund,,
2010,Toronto Transit Commission - Wheel Trans,User Fees & Donations,,4757300
2011,Toronto Transit Commission - Wheel Trans,Contribution From Reserves/Reserve Funds,,
2011,Toronto Transit Commission - Wheel Trans,Contribution From Reserves/Reserve Funds,,
2011,Toronto Transit Commission - Wheel Trans,Contributions to Capital,,
2011,Toronto Transit Commission - Wheel Trans,Contribution To Reserves/Reserve Funds,,
2011,Toronto Transit Commission - Wheel Trans,Equipment,,
2011,Toronto Transit Commission - Wheel Trans,Federal Subsidies,,
2011,Toronto Transit Commission - Wheel Trans,Inter-Divisional Charges,,
2011,Toronto Transit Commission - Wheel Trans,Inter-Divisional Recoveries,,
2011,Toronto Transit Commission - Wheel Trans,Materials & Supplies,12641600,
2011,Toronto Transit Commission - Wheel Trans,Other Expenditures,494000,
2011,Toronto Transit Commission - Wheel Trans,Other Subsidies,,
2011,Toronto Transit Commission - Wheel Trans,Provincial Subsidies,,
2011,Toronto Transit Commission - Wheel Trans,Salaries And Benefits,49355400,
2011,Toronto Transit Commission - Wheel Trans,Service And Rent,34131400,
2011,Toronto Transit Commission - Wheel Trans,Sundry and Other Revenues,,
2011,Toronto Transit Commission - Wheel Trans,Transfers from Capital Fund,,
2011,Toronto Transit Commission - Wheel Trans,User Fees & Donations,,5610900
2012,Toronto Transit Commission - Wheel Trans,Contribution From Reserves/Reserve Funds,,
2012,Toronto Transit Commission - Wheel Trans,Contribution From Reserves/Reserve Funds,,
2012,Toronto Transit Commission - Wheel Trans,Contributions to Capital,,
2012,Toronto Transit Commission - Wheel Trans,Contribution To Reserves/Reserve Funds,,
2012,Toronto Transit Commission - Wheel Trans,Equipment,,
2012,Toronto Transit Commission - Wheel Trans,Federal Subsidies,,
2012,Toronto Transit Commission - Wheel Trans,Inter-Divisional Charges,,
2012,Toronto Transit Commission - Wheel Trans,Inter-Divisional Recoveries,,
2012,Toronto Transit Commission - Wheel Trans,Materials & Supplies,10751000,
2012,Toronto Transit Commission - Wheel Trans,Other Expenditures,582000,
2012,Toronto Transit Commission - Wheel Trans,Other Subsidies,,
2012,Toronto Transit Commission - Wheel Trans,Provincial Subsidies,,
2012,Toronto Transit Commission - Wheel Trans,Salaries And Benefits,50472300,
2012,Toronto Transit Commission - Wheel Trans,Service And Rent,38401400,
2012,Toronto Transit Commission - Wheel Trans,Sundry and Other Revenues,,
2012,Toronto Transit Commission - Wheel Trans,Transfers from Capital Fund,,
2012,Toronto Transit Commission - Wheel Trans,User Fees & Donations,,5324600
2013,Toronto Transit Commission - Wheel Trans,Salaries And Benefits,54483900,
2013,Toronto Transit Commission - Wheel Trans,Materials & Supplies,13792300,
2013,Toronto Transit Commission - Wheel Trans,Service And Rent,33516400,
2013,Toronto Transit Commission - Wheel Trans,Other Expenditures,576700,
2013,Toronto Transit Commission - Wheel Trans,User Fees & Donations,,5546200
2014,Toronto Transit Commission - Wheel Trans,Materials & Supplies,14873099.97,
2014,Toronto Transit Commission - Wheel Trans,Other Expenditures,680800.03,
2014,Toronto Transit Commission - Wheel Trans,Salaries And Benefits,58076400.02,
2014,Toronto Transit Commission - Wheel Trans,Service And Rent,38931599.97,
2014,Toronto Transit Commission - Wheel Trans,User Fees & Donations,,5738800
2013,Toronto Transit Commission - Conventional,Salaries And Benefits,1127908200,
2013,Toronto Transit Commission - Conventional,Materials & Supplies,289808900,
2013,Toronto Transit Commission - Conventional,Equipment,30638200,
2013,Toronto Transit Commission - Conventional,Service And Rent,58337700,
2013,Toronto Transit Commission - Conventional,Other Expenditures,30766400,
2013,Toronto Transit Commission - Conventional,Inter-Divisional Charges,3489000,
2013,Toronto Transit Commission - Conventional,User Fees & Donations,,1129997400
2010,Toronto Water,Contribution From Reserves/Reserve Funds,,
2010,Toronto Water,Contribution From Reserves/Reserve Funds,,
2010,Toronto Water,Contributions to Capital,383192100,
2010,Toronto Water,Contribution To Reserves/Reserve Funds,7748300,
2010,Toronto Water,Equipment,3252900,
2010,Toronto Water,Federal Subsidies,,
2010,Toronto Water,Inter-Divisional Charges,73967100,
2010,Toronto Water,Inter-Divisional Recoveries,,3200
2010,Toronto Water,Materials & Supplies,84241500,
2010,Toronto Water,Other Expenditures,22433100,
2010,Toronto Water,Other Subsidies,,
2010,Toronto Water,Provincial Subsidies,,40300
2010,Toronto Water,Salaries And Benefits,153409100,
2010,Toronto Water,Service And Rent,39503900,
2010,Toronto Water,Sundry and Other Revenues,,3035300
2010,Toronto Water,Transfers from Capital Fund,,463600
2010,Toronto Water,User Fees & Donations,,764205600
2011,Toronto Water,Contribution From Reserves/Reserve Funds,,
2011,Toronto Water,Contribution From Reserves/Reserve Funds,,
2011,Toronto Water,Contributions to Capital,430976300,
2011,Toronto Water,Contribution To Reserves/Reserve Funds,8050400,
2011,Toronto Water,Equipment,2642700,
2011,Toronto Water,Federal Subsidies,,
2011,Toronto Water,Inter-Divisional Charges,69026000,
2011,Toronto Water,Inter-Divisional Recoveries,,3200
2011,Toronto Water,Materials & Supplies,90542400,
2011,Toronto Water,Other Expenditures,20951200,
2011,Toronto Water,Other Subsidies,,
2011,Toronto Water,Provincial Subsidies,,
2011,Toronto Water,Salaries And Benefits,157300100,
2011,Toronto Water,Service And Rent,41430700,
2011,Toronto Water,Sundry and Other Revenues,,2785300
2011,Toronto Water,Transfers from Capital Fund,,1973800
2011,Toronto Water,User Fees & Donations,,816157500
2012,Toronto Water,Contribution From Reserves/Reserve Funds,,2692100
2012,Toronto Water,Contribution From Reserves/Reserve Funds,,
2012,Toronto Water,Contributions to Capital,511779700,
2012,Toronto Water,Contribution To Reserves/Reserve Funds,6965500,
2012,Toronto Water,Equipment,2330700,
2012,Toronto Water,Federal Subsidies,,
2012,Toronto Water,Inter-Divisional Charges,66177600,
2012,Toronto Water,Inter-Divisional Recoveries,,3200
2012,Toronto Water,Materials & Supplies,91588700,
2012,Toronto Water,Other Expenditures,18805200,
2012,Toronto Water,Other Subsidies,,
2012,Toronto Water,Provincial Subsidies,,
2012,Toronto Water,Salaries And Benefits,156842700,
2012,Toronto Water,Service And Rent,38842800,
2012,Toronto Water,Sundry and Other Revenues,,855110000
2012,Toronto Water,Transfers from Capital Fund,,2178500
2012,Toronto Water,User Fees & Donations,,33349100
2013,Toronto Water,Salaries And Benefits,161228157.3,
2013,Toronto Water,Materials & Supplies,94086103.23,
2013,Toronto Water,Equipment,2473116.01,
2013,Toronto Water,Service And Rent,44378446.56,
2013,Toronto Water,Contribution To Reserves/Reserve Funds,553793066.5,
2013,Toronto Water,Other Expenditures,19478830.55,
2013,Toronto Water,Inter-Divisional Charges,65359432.2,
2013,Toronto Water,User Fees & Donations,,29482392
2013,Toronto Water,Transfers from Capital Fund,,1989038.01
2013,Toronto Water,Contribution From Reserves/Reserve Funds,,195000
2013,Toronto Water,Sundry and Other Revenues,,909130720.1
2014,Toronto Water,Contribution To Reserves/Reserve Funds,622699158,
2014,Toronto Water,Equipment,2650006.41,
2014,Toronto Water,Inter-Divisional Charges,65168394.93,
2014,Toronto Water,Materials & Supplies,94399392.33,
2014,Toronto Water,Other Expenditures,20271351.97,
2014,Toronto Water,Salaries And Benefits,164734698.3,
2014,Toronto Water,Service And Rent,52163453.67,
2014,Toronto Water,Contribution From Reserves/Reserve Funds,,195000
2014,Toronto Water,Sundry and Other Revenues,,984575446.7
2014,Toronto Water,Transfers from Capital Fund,,2012962.92
2014,Toronto Water,User Fees & Donations,,35303046.05
2010,Toronto Zoo,Contribution From Reserves/Reserve Funds,,
2010,Toronto Zoo,Contribution From Reserves/Reserve Funds,,136000
2010,Toronto Zoo,Contributions to Capital,,
2010,Toronto Zoo,Contribution To Reserves/Reserve Funds,746500,
2010,Toronto Zoo,Equipment,820900,
2010,Toronto Zoo,Federal Subsidies,,
2010,Toronto Zoo,Inter-Divisional Charges,,
2010,Toronto Zoo,Inter-Divisional Recoveries,,
2010,Toronto Zoo,Materials & Supplies,6235800,
2010,Toronto Zoo,Other Expenditures,1640100,
2010,Toronto Zoo,Other Subsidies,,991900
2010,Toronto Zoo,Provincial Subsidies,,
2010,Toronto Zoo,Salaries And Benefits,25384300,
2010,Toronto Zoo,Service And Rent,10501000,
2010,Toronto Zoo,Sundry and Other Revenues,,1622100
2010,Toronto Zoo,Transfers from Capital Fund,,
2010,Toronto Zoo,User Fees & Donations,,31190000
2011,Toronto Zoo,Contribution From Reserves/Reserve Funds,,
2011,Toronto Zoo,Contribution From Reserves/Reserve Funds,,136000
2011,Toronto Zoo,Contributions to Capital,,
2011,Toronto Zoo,Contribution To Reserves/Reserve Funds,746500,
2011,Toronto Zoo,Equipment,403100,
2011,Toronto Zoo,Federal Subsidies,,
2011,Toronto Zoo,Inter-Divisional Charges,,
2011,Toronto Zoo,Inter-Divisional Recoveries,,
2011,Toronto Zoo,Materials & Supplies,7100800,
2011,Toronto Zoo,Other Expenditures,1640100,
2011,Toronto Zoo,Other Subsidies,,1039600
2011,Toronto Zoo,Provincial Subsidies,,
2011,Toronto Zoo,Salaries And Benefits,25973600,
2011,Toronto Zoo,Service And Rent,10352000,
2011,Toronto Zoo,Sundry and Other Revenues,,1845700
2011,Toronto Zoo,Transfers from Capital Fund,,
2011,Toronto Zoo,User Fees & Donations,,31806400
2012,Toronto Zoo,Contribution From Reserves/Reserve Funds,,
2012,Toronto Zoo,Contribution From Reserves/Reserve Funds,,136000
2012,Toronto Zoo,Contributions to Capital,1431800,
2012,Toronto Zoo,Contribution To Reserves/Reserve Funds,,
2012,Toronto Zoo,Equipment,640000,
2012,Toronto Zoo,Federal Subsidies,,
2012,Toronto Zoo,Inter-Divisional Charges,,
2012,Toronto Zoo,Inter-Divisional Recoveries,,
2012,Toronto Zoo,Materials & Supplies,6180100,
2012,Toronto Zoo,Other Expenditures,136000,
2012,Toronto Zoo,Other Subsidies,,972500
2012,Toronto Zoo,Provincial Subsidies,,
2012,Toronto Zoo,Salaries And Benefits,26673100,
2012,Toronto Zoo,Service And Rent,10599900,
2012,Toronto Zoo,Sundry and Other Revenues,,2672000
2012,Toronto Zoo,Transfers from Capital Fund,,
2012,Toronto Zoo,User Fees & Donations,,30772300
2013,Toronto Zoo,Salaries And Benefits,28227725,
2013,Toronto Zoo,Materials & Supplies,8416330,
2013,Toronto Zoo,Equipment,650500,
2013,Toronto Zoo,Service And Rent,13698150,
2013,Toronto Zoo,Contribution To Reserves/Reserve Funds,3110183,
2013,Toronto Zoo,Provincial Subsidies,,1011500
2013,Toronto Zoo,User Fees & Donations,,40278600
2013,Toronto Zoo,Transfers from Capital Fund,,171000
2013,Toronto Zoo,Contribution From Reserves/Reserve Funds,,322300
2013,Toronto Zoo,Sundry and Other Revenues,,671200
2014,Toronto Zoo,Contribution To Reserves/Reserve Funds,2302386,
2014,Toronto Zoo,Equipment,365898.98,
2014,Toronto Zoo,Materials & Supplies,8269999.2,
2014,Toronto Zoo,Salaries And Benefits,28151490.2,
2014,Toronto Zoo,Service And Rent,12666067.66,
2014,Toronto Zoo,Contribution From Reserves/Reserve Funds,,386000.04
2014,Toronto Zoo,Provincial Subsidies,,1102499.96
2014,Toronto Zoo,Sundry and Other Revenues,,671199.99
2014,Toronto Zoo,Transfers from Capital Fund,,171000
2014,Toronto Zoo,User Fees & Donations,,37981755
2010,Transportation Services,Contribution From Reserves/Reserve Funds,,
2010,Transportation Services,Contribution From Reserves/Reserve Funds,,19012327
2010,Transportation Services,Contributions to Capital,,
2010,Transportation Services,Contribution To Reserves/Reserve Funds,18075340,
2010,Transportation Services,Equipment,1341630,
2010,Transportation Services,Federal Subsidies,,
2010,Transportation Services,Inter-Divisional Charges,14650585,
2010,Transportation Services,Inter-Divisional Recoveries,,12131399
2010,Transportation Services,Materials & Supplies,14999030,
2010,Transportation Services,Other Expenditures,667963,
2010,Transportation Services,Other Subsidies,,
2010,Transportation Services,Provincial Subsidies,,139400
2010,Transportation Services,Salaries And Benefits,102610700,
2010,Transportation Services,Service And Rent,134467591,
2010,Transportation Services,Sundry and Other Revenues,,36285780
2010,Transportation Services,Transfers from Capital Fund,,17365186
2010,Transportation Services,User Fees & Donations,,21241063
2011,Transportation Services,Contribution From Reserves/Reserve Funds,,
2011,Transportation Services,Contribution From Reserves/Reserve Funds,,18196292.52
2011,Transportation Services,Contributions to Capital,0,
2011,Transportation Services,Contribution To Reserves/Reserve Funds,18105340.05,
2011,Transportation Services,Equipment,816170.37,
2011,Transportation Services,Federal Subsidies,,
2011,Transportation Services,Inter-Divisional Charges,13560998.04,
2011,Transportation Services,Inter-Divisional Recoveries,,9550797.64
2011,Transportation Services,Materials & Supplies,15798627.76,
2011,Transportation Services,Other Expenditures,667963.5,
2011,Transportation Services,Other Subsidies,,
2011,Transportation Services,Provincial Subsidies,,
2011,Transportation Services,Salaries And Benefits,100093843.1,
2011,Transportation Services,Service And Rent,142030545.5,
2011,Transportation Services,Sundry and Other Revenues,,46271445.82
2011,Transportation Services,Transfers from Capital Fund,,17468980.12
2011,Transportation Services,User Fees & Donations,,26134499.08
2012,Transportation Services,Contribution From Reserves/Reserve Funds,,
2012,Transportation Services,Contribution From Reserves/Reserve Funds,,18552142
2012,Transportation Services,Contributions to Capital,160700,
2012,Transportation Services,Contribution To Reserves/Reserve Funds,18848570,
2012,Transportation Services,Equipment,759971,
2012,Transportation Services,Federal Subsidies,,
2012,Transportation Services,Inter-Divisional Charges,13063700,
2012,Transportation Services,Inter-Divisional Recoveries,,7585597
2012,Transportation Services,Materials & Supplies,43517325,
2012,Transportation Services,Other Expenditures,147098,
2012,Transportation Services,Other Subsidies,,
2012,Transportation Services,Provincial Subsidies,,
2012,Transportation Services,Salaries And Benefits,90390600,
2012,Transportation Services,Service And Rent,160267100,
2012,Transportation Services,Sundry and Other Revenues,,39664720
2012,Transportation Services,Transfers from Capital Fund,,29605110
2012,Transportation Services,User Fees & Donations,,25435427
2013,Transportation Services,Salaries And Benefits,92394182.6,
2013,Transportation Services,Materials & Supplies,41448344.05,
2013,Transportation Services,Equipment,748774.45,
2013,Transportation Services,Service And Rent,162672497.1,
2013,Transportation Services,Contribution To Reserves/Reserve Funds,19034431.98,
2013,Transportation Services,Other Expenditures,527267.86,
2013,Transportation Services,Inter-Divisional Charges,14621329.51,
2013,Transportation Services,Inter-Divisional Recoveries,,6613149
2013,Transportation Services,User Fees & Donations,,28954682.89
2013,Transportation Services,Licences & Permits Revenue,,5893024.39
2013,Transportation Services,Transfers from Capital Fund,,29250518.3
2013,Transportation Services,Contribution From Reserves/Reserve Funds,,20648950.7
2013,Transportation Services,Sundry and Other Revenues,,33980028.36
2014,Transportation Services,Contribution To Reserves/Reserve Funds,21034431.99,
2014,Transportation Services,Equipment,737000.75,
2014,Transportation Services,Inter-Divisional Charges,14988145.2,
2014,Transportation Services,Materials & Supplies,41651053.67,
2014,Transportation Services,Other Expenditures,718948.43,
2014,Transportation Services,Salaries And Benefits,95018743.54,
2014,Transportation Services,Service And Rent,166053359,
2014,Transportation Services,Contribution From Reserves/Reserve Funds,,25765263.64
2014,Transportation Services,Inter-Divisional Recoveries,,7115354.02
2014,Transportation Services,Licences & Permits Revenue,,6040166.03
2014,Transportation Services,Sundry and Other Revenues,,37774680.81
2014,Transportation Services,Transfers from Capital Fund,,27353983.23
2014,Transportation Services,User Fees & Donations,,30045688.5
2010,Waterfront Secretariat,Contribution From Reserves/Reserve Funds,,
2010,Waterfront Secretariat,Contribution From Reserves/Reserve Funds,,
2010,Waterfront Secretariat,Contributions to Capital,,
2010,Waterfront Secretariat,Contribution To Reserves/Reserve Funds,2200,
2010,Waterfront Secretariat,Equipment,1000,
2010,Waterfront Secretariat,Federal Subsidies,,
2010,Waterfront Secretariat,Inter-Divisional Charges,4700,
2010,Waterfront Secretariat,Inter-Divisional Recoveries,,
2010,Waterfront Secretariat,Materials & Supplies,1000,
2010,Waterfront Secretariat,Other Expenditures,,
2010,Waterfront Secretariat,Other Subsidies,,
2010,Waterfront Secretariat,Provincial Subsidies,,
2010,Waterfront Secretariat,Salaries And Benefits,1258100,
2010,Waterfront Secretariat,Service And Rent,280100,
2010,Waterfront Secretariat,Sundry and Other Revenues,,
2010,Waterfront Secretariat,Transfers from Capital Fund,,590000
2010,Waterfront Secretariat,User Fees & Donations,,
2011,Waterfront Secretariat,Contribution From Reserves/Reserve Funds,,
2011,Waterfront Secretariat,Contribution From Reserves/Reserve Funds,,
2011,Waterfront Secretariat,Contributions to Capital,,
2011,Waterfront Secretariat,Contribution To Reserves/Reserve Funds,2200,
2011,Waterfront Secretariat,Equipment,1000,
2011,Waterfront Secretariat,Federal Subsidies,,
2011,Waterfront Secretariat,Inter-Divisional Charges,4700,
2011,Waterfront Secretariat,Inter-Divisional Recoveries,,
2011,Waterfront Secretariat,Materials & Supplies,1000,
2011,Waterfront Secretariat,Other Expenditures,,
2011,Waterfront Secretariat,Other Subsidies,,
2011,Waterfront Secretariat,Provincial Subsidies,,
2011,Waterfront Secretariat,Salaries And Benefits,1274900,
2011,Waterfront Secretariat,Service And Rent,225400,
2011,Waterfront Secretariat,Sundry and Other Revenues,,
2011,Waterfront Secretariat,Transfers from Capital Fund,,600000
2011,Waterfront Secretariat,User Fees & Donations,,
2010,Yonge-Dundas Square,Contribution From Reserves/Reserve Funds,,
2010,Yonge-Dundas Square,Contribution From Reserves/Reserve Funds,,
2010,Yonge-Dundas Square,Contributions to Capital,,
2010,Yonge-Dundas Square,Contribution To Reserves/Reserve Funds,2268,
2010,Yonge-Dundas Square,Equipment,40000,
2010,Yonge-Dundas Square,Federal Subsidies,,
2010,Yonge-Dundas Square,Inter-Divisional Charges,,
2010,Yonge-Dundas Square,Inter-Divisional Recoveries,,
2010,Yonge-Dundas Square,Materials & Supplies,178487,
2010,Yonge-Dundas Square,Other Expenditures,,
2010,Yonge-Dundas Square,Other Subsidies,,
2010,Yonge-Dundas Square,Provincial Subsidies,,
2010,Yonge-Dundas Square,Salaries And Benefits,392664,
2010,Yonge-Dundas Square,Service And Rent,1149395,
2010,Yonge-Dundas Square,Sundry and Other Revenues,,317001
2010,Yonge-Dundas Square,Transfers from Capital Fund,,
2010,Yonge-Dundas Square,User Fees & Donations,,902031
2011,Yonge-Dundas Square,Contribution From Reserves/Reserve Funds,,
2011,Yonge-Dundas Square,Contribution From Reserves/Reserve Funds,,
2011,Yonge-Dundas Square,Contributions to Capital,,
2011,Yonge-Dundas Square,Contribution To Reserves/Reserve Funds,2268,
2011,Yonge-Dundas Square,Equipment,40000,
2011,Yonge-Dundas Square,Federal Subsidies,,
2011,Yonge-Dundas Square,Inter-Divisional Charges,,
2011,Yonge-Dundas Square,Inter-Divisional Recoveries,,
2011,Yonge-Dundas Square,Materials & Supplies,181468,
2011,Yonge-Dundas Square,Other Expenditures,,
2011,Yonge-Dundas Square,Other Subsidies,,
2011,Yonge-Dundas Square,Provincial Subsidies,,
2011,Yonge-Dundas Square,Salaries And Benefits,403702,
2011,Yonge-Dundas Square,Service And Rent,1259745,
2011,Yonge-Dundas Square,Sundry and Other Revenues,,382001
2011,Yonge-Dundas Square,Transfers from Capital Fund,,
2011,Yonge-Dundas Square,User Fees & Donations,,990000
2012,Yonge-Dundas Square,Contribution From Reserves/Reserve Funds,,
2012,Yonge-Dundas Square,Contribution From Reserves/Reserve Funds,,
2012,Yonge-Dundas Square,Contributions to Capital,,
2012,Yonge-Dundas Square,Contribution To Reserves/Reserve Funds,2356,
2012,Yonge-Dundas Square,Equipment,40000,
2012,Yonge-Dundas Square,Federal Subsidies,,
2012,Yonge-Dundas Square,Inter-Divisional Charges,,
2012,Yonge-Dundas Square,Inter-Divisional Recoveries,,
2012,Yonge-Dundas Square,Materials & Supplies,184123,
2012,Yonge-Dundas Square,Other Expenditures,,
2012,Yonge-Dundas Square,Other Subsidies,,
2012,Yonge-Dundas Square,Provincial Subsidies,,
2012,Yonge-Dundas Square,Salaries And Benefits,428337,
2012,Yonge-Dundas Square,Service And Rent,1310495,
2012,Yonge-Dundas Square,Sundry and Other Revenues,,411647
2012,Yonge-Dundas Square,Transfers from Capital Fund,,
2012,Yonge-Dundas Square,User Fees & Donations,,1090000
2013,Yonge-Dundas Square,Salaries And Benefits,510942,
2013,Yonge-Dundas Square,Materials & Supplies,173136,
2013,Yonge-Dundas Square,Equipment,40000,
2013,Yonge-Dundas Square,Service And Rent,1342701,
2013,Yonge-Dundas Square,Contribution To Reserves/Reserve Funds,2387,
2013,Yonge-Dundas Square,User Fees & Donations,,1225000
2013,Yonge-Dundas Square,Licences & Permits Revenue,,0
2013,Yonge-Dundas Square,Sundry and Other Revenues,,407649
